tiporesiduo,bairro,regiao,endereco,complemento,observacao,lat,lon
"metal,isopor,papel,plastico,vidro",Areias,Sudoeste,Rua Ipojuca,Praça Heróis da Restauração,Ecoponto,-8097034,-34936117
"metal,isopor,papel,plastico,vidro",Jardim São Paulo,Sudoeste,Rua Nossa Senhora de Fatima,Praça de Jardim São Paulo,Ecoponto,-808196,-34938121
"metal,isopor,papel,plastico,vidro",Cohab,Sul,Av. Rio Largo,Atras do E.M. Cristiano Cordeiro,EcoEstação,-8116778,-34943389
"metal,isopor,papel,plastico,vidro",Ibura,Sul,Rua Rio das Pedras,Tech Infor Informática,EcoEstação,-8116722,-3494328
"metal,isopor,papel,plastico,vidro",Caçote,Sudoeste,Av. Recife,em frente do EMLURB,Ecoponto,-8102002,-3492827
"metal,isopor,papel,plastico,vidro",Poço,Noroeste,"Rua Eng. Oscár Ferreira, 338",,Amape-Associação Meio Ambiente Preservar e Educar,-8029387,-34922791
"metal,isopor,papel,plastico,vidro",Dois Unidos,Norte,"Rua Mamede Coelho, 53",,Associação de trapeiros do Emaús,-8005428,-34903342
"metal,isopor,papel,plastico,vidro",Parnamirim,Noroeste,"Rua Desembargador Góis Cavalcante, 261",,Pão de Açúcar do Parnamirim,-8031581,-3490845
eletrônico,Guabiraba,Noroeste,"Av. da Recuperação, 318",,CRC Marista,-8016326,-34940215
Medicamentos,Torre,Oeste,"Rua José Bonifácio, 1315",,Drogarias Carrefour,-8040099,-34909766
Óleos de Cozinha,Afogados,Sudoeste,"Rua da Paz, 82",,ASA Portaria,-8079229,-34904414
Óleos de Cozinha,Afogados,Sudoeste,"Rua São Miguel, 250",,Procuradoria Geral de Justiça,-8066962,-34885139
Óleos de Cozinha,Bomba do Hemetério,Norte,"Rua Chã de Alegria, 117",,Escola Prof. Mardonio de Andrade Lima Coelho,-8020803,-34903803
eletrônico,Jaqueira,Noroeste,"Rua do futuro, 959",,Econúcleo Jaqueira,-8035791,-34904969
eletrônico,Boa Vista,Centro,Av. Governador Carlos de Lima Cavalcanti,Ao lado do Posto Dom Bosco,Empresa de Manutenção e Limpeza Urbana,-8056214,-34895461
eletrônico,Água Fria,Norte,"Av. Aníbal Benévolo, 1552",ao lado Centro Comunitária da Paz - COMPAZ- Alto Santa Terezinha,Compaz Alto Santa Terezinha,-8010403,-34903292
eletrônico,Jiquiá,Sudoeste,Av. General San Martin,Ao lado do Condomínio Morada Recife Antigo,Compaz San Martin,-8060022,-34926157
Óleos de Cozinha,Boa viagem,Sul,Rua Professor Eduardo Wanderley Filho,Ao lado do Condomínio  Ed. Sky Boa Viagem,colegio boa viagem,-8110761,-34894612
Óleos de Cozinha,Boa Viagem,Sul,Rua Padre Cabral,Em frente a loja Miss Meria,Colégio Madre de Deus,-8133723,-34907142
Óleos de Cozinha,Santo Antônio,Centro,Rua Moacir Boracho,Ao lado da Secretaria da fazenda do estado de pernambuco,Tribunal de Justiça (Ed. Paula Batista),-8062223,-34876877
Óleos de Cozinha,Engenho do Meio,Oeste,"Rua Bom Pastor, 1406",,Escola Municipal Engenho do Meio,-8049916,-34939615
Óleos de Cozinha,Espinheiro,Noroeste,"Av. João de Barros, 1545",Nº1545/1563,Colégio Saber Viver Espinheiro,-8041006,-34891821
Óleos de Cozinha,Graças,Noroeste,"Av. Rui Barbosa, 1680",,Colégio Núcleo,-8038775,-34904595
Óleos de Cozinha,Ibura,Sul,"Av. Ministro Oliveira Salazar, 228",,SESI Ibura,-8109953,-34937659
Óleos de Cozinha,Ibura,Sul,Av. Pernambuco,Em frete do NÚCLEO DE SEGURANÇA COMUNITÁRIA,Escola Maria Sampaio de Lucena,-8121299,-3494675
Óleos de Cozinha,Imbiribeira,Sul,"Av. Marechal Mascarenhas de Morais, 1919",,Central de Juizados Especiais,-8099596,-34909465
Óleos de Cozinha,Imbiribeira,Sul,"Rua Conego Lira, 282",,Escola Anita Garibalde,-8095385,-34912275
Óleos de Cozinha,Ipsep,Sul,"Rua Saturnino Meireles, s/n",,EREM Engenheiro Lauro Dinis,-8114453,-34921247
"lixo organico, metralhas, móveis, materiais recicláveis, eletroeletronico, utensílios domésticos e resíduos de podas",Ibura,Sul,"Rua Rio Tapado, s/n",,Ecoestação,-8116730339,-349436
"lixo organico, metralhas, móveis, materiais recicláveis, eletroeletronico, utensílios domésticos e resíduos de podas",Cohab,Sul,"Av. Santos, s/n",,Ecoestação,-8115148417,-349536
"lixo organico, metralhas, móveis, materiais recicláveis, eletroeletronico, utensílios domésticos e resíduos de podas",Totó,Sudoeste,"Rua Onde de Agosto, s/n",,Ecoestação,-8077710064,-349718
"lixo organico, metralhas, móveis, materiais recicláveis, eletroeletronico, utensílios domésticos e resíduos de podas",Campo Grande,Norte,Avenida Agamenon Magalhães,Com a rua Odorico Mendes,Ecoestação,-8039064362,-348784
"lixo organico, metralhas, móveis, materiais recicláveis, eletroeletronico, utensílios domésticos e resíduos de podas",Imbiribeira,Sul,Avenida Mascarenhas de Morais,"Sentido cidade/subúrbio, próximo ao viaduto Tancredo Neves",Ecoestação,-8123083048,-349133
"lixo organico, metralhas, móveis, materiais recicláveis, eletroeletronico, utensílios domésticos e resíduos de podas",Arruda,Norte,Rua Professor José dos Anjos,(Ao lado do Habitacional Palha de Arroz,Ecoestação,-8022630485,-3488009465
"lixo organico, metralhas, móveis, materiais recicláveis, eletroeletronico, utensílios domésticos e resíduos de podas",Torrões,Oeste,"Rua Maestro Jones Johnson, s/n",,Ecoestação,-8057749509,-3493538838
"metal,isopor,papel,plastico,vidro",Madalena,Oeste,Rua Visconde de Albuquerque,Praça Eça de Queiroz,Ecoponto,-8050744,-34906654
"metal,isopor,papel,plastico,vidro",Madalena,Oeste,Avenida Abdias de Carvalho,Fcap,Ecoponto,-8061185,-34902842
Óleos de Cozinha,Aflitos,Noroeste,Av. Cons. Rosa Silva,SEMAS,,-80398523,-349015293
Óleos de Cozinha,Areias,Sudoeste,"Av. Recife, 3587",EMLURB,,-81018629,-349304351
Óleos de Cozinha,Dois Irmãos,Noroeste,"Praça Faria Neves, s/n",Compesa - Dois irmãos,,-8015659,-349431149
Óleos de Cozinha,Jardim São Paulo,Sudoeste,"Rua Capetinga, s/n",Escola Trajano de Mendoca,,-80785098,-349435062
Óleos de Cozinha,Recife Antigo,Centro,"Av. Rio Branco, 193",EREM Porto Digital,,-80627359,-348755563
Óleos de Cozinha,Santo Amaro,Centro,"Av. Cruz Cabugá, 767",Serviço Social da Indústria - Sesi,,-80479,-348798227
Óleos de Cozinha,Totó,Sudoeste,"Rua Onze de Agosto, 564",Compesa,,-80784466,-3497339
Óleos de Cozinha,Vasco da gama,Noroeste,"Rua Vasco da Gama,145",SESI Vasco da Gama,,-80192679,-349237825
"eletronico, metal,isopor,papel,plastico,vidro",Imbiribeira,Sul,"Rua Antônio Cardoso da Fonte, n 483",Pro-Recife,Cooperativa,-80977593,-34921774
"eletronico, oleo de cozinha, metal,isopor,papel,plastico,vidro",Afogados,Sudoeste,Rua Oscár Melo,COOPAGRES,Cooperativa,-80977611,-349283407
"metal,isopor,papel,plastico,vidro",Arruda,Norte,"Rua Farias Neves, n 982",Palha de arroz,Cooperativa,-80203083,-348764555
"metal,isopor,papel,plastico,vidro",São José,Centro,"Avenida Sul, S/N",Cooperativa Verde Nossa Vida,Cooperativa,-80754417,-348909016
"metal,isopor,papel,plastico,vidro",São José,Centro,"Avenida Sul, S/N",Cooperativa Esperança Viva,Cooperativa,-80754159,-348910941
"metal,isopor,papel,plastico,vidro",Torre,Oeste,"Rua Eliéser Olímpio de Moura, 100 A",Cooperativa Recicla Torre,Cooperativa,-80445617,-349151526
"metal,isopor,papel,plastico,vidro",Dois Unidos,Norte,"Av. Chagas Ferreira, 601",Cooperativa Resgatando Vidas,Cooperativa,-80050971,-349144973
Pneu,Madalena,Oeste,"Av. Abdias de Carvalho, 341",Pneus Pirelle,,-80614164,-349087182
Pneu,Espinheiro,Noroeste,"Av. Norte, 2261",Bridgestone Pneus,,-80392157,-34893334
Pneu,São José,Centro,"Rua Lourenço de Sá, 165",Pneu Verde,,-80743288,-348980205
Lampada,Imbiribeira,Sul,"Rua Francisco Correa de Moraes, 100",Carrefour RBV Boa Viagem,,-81241489,-349132995
Eletroeletrônico,Jaqueira,Noroeste,"R. Dep. Pedro Pires Ferreira - Jaqueira, Recife",,,-80378431,-349056631
Eletroeletrônico,Graças,Noroeste,"Rua Gerásio Fioravante, 209. Graça, Recife",,,-80487205,-349032191
